Title,GDP,CPI,UnE,Ex,HHC,RPIF,CPA
1955 Q1,121747,,,,3805,,
1955 Q2,121765,,,,4015,,
1955 Q3,124204,,,,4126,,
1955 Q4,123527,,,,4387,,
1956 Q1,124881,,,,4020,,
1956 Q2,124751,,,,4312,,
1956 Q3,124594,,,,4357,,
1956 Q4,125329,,,,4649,,
1957 Q1,127685,,,,4264,,
1957 Q2,127644,,,,4518,,
1957 Q3,126847,,,,4614,,
1957 Q4,127203,,,,4897,,
1958 Q1,130017,,,,4505,,
1958 Q2,126750,,,,4759,,
1958 Q3,129561,,,,4802,,
1958 Q4,129911,,,,5138,,
1959 Q1,130713,,,,4744,,
1959 Q2,132823,,,,5052,,
1959 Q3,135648,,,,5062,,
1959 Q4,139094,,,,5438,,
1960 Q1,142565,,,,5036,,
1960 Q2,141565,,,,5351,,
1960 Q3,143674,,,,5337,,
1960 Q4,144509,,,,5640,,
1961 Q1,146876,,,,5325,,
1961 Q2,147484,,,,5645,,
1961 Q3,146753,,,,5713,,
1961 Q4,146476,,,,5956,,
1962 Q1,147109,,,,5645,,
1962 Q2,148500,,,,6079,,
1962 Q3,149408,,,,6039,,
1962 Q4,148870,,,,6314,,
1963 Q1,149550,,,,5866,,
1963 Q2,156027,,,,6355,,
1963 Q3,156716,,,,6435,,
1963 Q4,160273,,,,6709,,
1964 Q1,161333,,,,6321,,
1964 Q2,164347,,,,6767,,
1964 Q3,164952,,,,6894,,
1964 Q4,167430,,,,7212,,
1965 Q1,166975,,,,6858,,
1965 Q2,167074,,,,7305,,
1965 Q3,168424,,,,7467,,
1965 Q4,169502,,,,7767,,
1966 Q1,169749,,,,7382,,
1966 Q2,170745,,,,7887,,
1966 Q3,171303,,,,7942,,
1966 Q4,170622,,,,8233,,
1967 Q1,172902,,,,7856,,
1967 Q2,175314,,,,8266,,
1967 Q3,176021,,,,8497,,
1967 Q4,176978,,,,8923,,
1968 Q1,183476,,,,8684,,
1968 Q2,182717,,,,8834,,
1968 Q3,186277,,,,9140,,
1968 Q4,186998,,,,9624,,
1969 Q1,186620,,,,9123,,
1969 Q2,188017,,,,9523,,
1969 Q3,189030,,,,9750,,
1969 Q4,189939,,,,10354,,
1970 Q1,188748,,,,9806,,
1970 Q2,193258,,,,10461,,
1970 Q3,195099,,,,10905,,
1970 Q4,196872,,,,11592,,
1971 Q1,195942,,3.8,,11008,,
1971 Q2,199456,,4.1,,11854,,
1971 Q3,202884,,4.2,,12337,,
1971 Q4,203687,,4.4,,13048,,
1972 Q1,204098,,4.5,,12606,,
1972 Q2,209482,,4.4,,13298,,
1972 Q3,210040,,4.3,,14020,,
1972 Q4,213318,,4.2,,15082,,
1973 Q1,223780,,3.9,,14794,,
1973 Q2,224213,,3.7,,15260,,
1973 Q3,222122,,3.6,,16105,,
1973 Q4,221266,,3.4,,17238,,
1974 Q1,215122,,3.6,,16652,,
1974 Q2,218215,,3.6,,17852,,
1974 Q3,219517,,3.7,,19341,,
1974 Q4,216301,,3.7,,21336,,
1975 Q1,216390,,4,,21545,,
